city,stateAbb,year,department,expensecat,subdep,expensedescrip,personneltype,group,total
Austin,TX,2020,Police Department,Non-Equipment Expense,Victim Services,Salaries,All Staff,Group 4,26489
Austin,TX,2020,Police Department,Operations,Communications,Maintenance,All Staff,Group 4,3463
Austin,TX,2020,Police Department,Operations,Communications,Other,All Staff,Group 4,86934
Austin,TX,2020,Police Department,Operations,Forensic Services,Maintenance,All Staff,Group 4,122092
Austin,TX,2020,Police Department,Operations,Internal Affairs,Other,All Staff,Group 4,29300
Austin,TX,2020,Police Department,Operations,Investigations,Advertising,All Staff,Group 4,500
Austin,TX,2020,Police Department,Operations,Investigations,IT Maintenance,All Staff,Group 4,18518
Austin,TX,2020,Police Department,Operations,Investigations,IT Supplies,All Staff,Group 4,3850
Austin,TX,2020,Police Department,Operations,Investigations,Transportation,All Staff,Group 4,373798
Austin,TX,2020,Police Department,Operations,Investigations,Travel,All Staff,Group 4,8600
Austin,TX,2020,Police Department,Operations,Recruiting,Advertisting,All Staff,Group 4,28030
Austin,TX,2020,Police Department,Operations,Recruiting,Other,All Staff,Group 4,78700
Austin,TX,2020,Police Department,Operations,Specialized Patrol,Advertising,All Staff,Group 4,32622
Austin,TX,2020,Police Department,Operations,Strategic Support,Other,All Staff,Group 4,7002737
Austin,TX,2020,Police Department,Operations,Support Services,Advertisting,All Staff,Group 4,5135
Austin,TX,2020,Police Department,Operations,Support Services,Agricultural/horticultural,All Staff,Group 4,100
Austin,TX,2020,Police Department,Operations,Support Services,Maintenance,All Staff,Group 4,27040
Austin,TX,2020,Police Department,Operations,Support Services,Office supplies,All Staff,Group 4,8000
Austin,TX,2020,Police Department,Operations,Victim Services,Office supplies,All Staff,Group 4,100
Austin,TX,2020,Police Department,Personnel Services,Air Operations,Benefits,All Staff,Group 4,223196
Austin,TX,2020,Police Department,Personnel Services,Air Operations,IT Maintenance,All Staff,Group 4,12040
Austin,TX,2020,Police Department,Personnel Services,Air Operations,Medical services,All Staff,Group 4,165
Austin,TX,2020,Police Department,Personnel Services,Air Operations,Other,All Staff,Group 4,22800
Austin,TX,2020,Police Department,Personnel Services,Air Operations,Retirement/pension,All Staff,Group 4,199817
Austin,TX,2020,Police Department,Personnel Services,Air Operations,Salaries,All Staff,Group 4,83740
Austin,TX,2020,Police Department,Personnel Services,Air Operations,Tuition Reimbursement,All Staff,Group 4,15720
Austin,TX,2020,Police Department,Personnel Services,Communications,Benefits,All Staff,Group 4,4413719
Austin,TX,2020,Police Department,Personnel Services,Communications,Bilingual Pay,All Staff,Group 4,25500
Austin,TX,2020,Police Department,Personnel Services,Communications,Dues,All Staff,Group 4,1778
Austin,TX,2020,Police Department,Personnel Services,Communications,Fringe Benefits,All Staff,Group 4,875953
Austin,TX,2020,Police Department,Personnel Services,Communications,Holiday Pay,All Staff,Group 4,150000
Austin,TX,2020,Police Department,Personnel Services,Communications,Phones,All Staff,Group 4,420
Austin,TX,2020,Police Department,Personnel Services,Communications,Retirement/pension,All Staff,Group 4,2000365
Austin,TX,2020,Police Department,Personnel Services,Communications,Salaries,All Staff,Group 4,11196319
Austin,TX,2020,Police Department,Personnel Services,Communications,Transportation,All Staff,Group 4,462
Austin,TX,2020,Police Department,Personnel Services,Communications,Tuition Reimbursement,All Staff,Group 4,10650
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Benefits,All Staff,Group 4,328724
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Bilingual Pay,All Staff,Group 4,9300
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Dues,All Staff,Group 4,2000
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Field Equipment,All Staff,Group 4,23000
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,IT Supplies,All Staff,Group 4,900
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Maintenance,All Staff,Group 4,2000
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Office supplies,All Staff,Group 4,1700
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Other,All Staff,Group 4,5750
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Overtime,All Staff,Group 4,50328
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Phones,All Staff,Group 4,420
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Rentals,All Staff,Group 4,7570
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Retirement/pension,All Staff,Group 4,235909
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Salaries,All Staff,Group 4,654569
Austin,TX,2020,Police Department,Personnel Services,Community Partnerships,Tuition Reimbursement,All Staff,Group 4,16220
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Benefits,All Staff,Group 4,2884784
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Bilingual Pay,All Staff,Group 4,10200
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Dues,All Staff,Group 4,8195
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Field Equipment,All Staff,Group 4,35000
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Holiday Pay,All Staff,Group 4,80000
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Maintenance,All Staff,Group 4,850
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Phones,All Staff,Group 4,5880
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Photographic,All Staff,Group 4,30000
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Printing,All Staff,Group 4,28066
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Salaries,All Staff,Group 4,5330193
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Small tools/minor equipment,All Staff,Group 4,19300
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Special Pay,All Staff,Group 4,4500
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Training,All Staff,Group 4,350
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Transportation,All Staff,Group 4,100
Austin,TX,2020,Police Department,Personnel Services,Forensic Services,Uniforms,All Staff,Group 4,3500
Austin,TX,2020,Police Department,Personnel Services,Homelessness,Benefits,All Staff,Group 4,45211
Austin,TX,2020,Police Department,Personnel Services,Homelessness,Retirement/pension,All Staff,Group 4,42839
Austin,TX,2020,Police Department,Personnel Services,Homelessness,Salaries,All Staff,Group 4,4708
Austin,TX,2020,Police Department,Personnel Services,Homelessness,Tuition Reimbursement,All Staff,Group 4,3600
Austin,TX,2020,Police Department,Personnel Services,Internal Affairs,Benefits,All Staff,Group 4,619494
Austin,TX,2020,Police Department,Personnel Services,Internal Affairs,Bilingual Pay,All Staff,Group 4,10500
Austin,TX,2020,Police Department,Personnel Services,Internal Affairs,Dues,All Staff,Group 4,450
Austin,TX,2020,Police Department,Personnel Services,Internal Affairs,Holiday Pay,All Staff,Group 4,10000
Austin,TX,2020,Police Department,Personnel Services,Internal Affairs,Maintenance,All Staff,Group 4,6926
Austin,TX,2020,Police Department,Personnel Services,Internal Affairs,Printing,All Staff,Group 4,10500
Austin,TX,2020,Police Department,Personnel Services,Internal Affairs,Salaries,All Staff,Group 4,2449756
Austin,TX,2020,Police Department,Personnel Services,Internal Affairs,Small tools/minor equipment,All Staff,Group 4,19000
Austin,TX,2020,Police Department,Personnel Services,Internal Affairs,Special Pay,All Staff,Group 4,3000
Austin,TX,2020,Police Department,Personnel Services,Internal Affairs,Uniforms,All Staff,Group 4,10000
Austin,TX,2020,Police Department,Personnel Services,Investigations,Benefits,All Staff,Group 4,6222276
Austin,TX,2020,Police Department,Personnel Services,Investigations,Bilingual Pay,All Staff,Group 4,158400
Austin,TX,2020,Police Department,Personnel Services,Investigations,FICA tax,All Staff,Group 4,2424754
Austin,TX,2020,Police Department,Personnel Services,Investigations,Holiday Pay,All Staff,Group 4,256331
Austin,TX,2020,Police Department,Personnel Services,Investigations,Organized Crime,All Staff,Group 4,17676003
Austin,TX,2020,Police Department,Personnel Services,Investigations,Overtime,All Staff,Group 4,1984623
Austin,TX,2020,Police Department,Personnel Services,Investigations,Retirement/pension,All Staff,Group 4,8048762
Austin,TX,2020,Police Department,Personnel Services,Investigations,Salaries,All Staff,Group 4,37866948
Austin,TX,2020,Police Department,Personnel Services,Investigations,Special Pay,All Staff,Group 4,448241
Austin,TX,2020,Police Department,Personnel Services,Investigations,Tuition Reimbursement,All Staff,Group 4,757800
Austin,TX,2020,Police Department,Personnel Services,Investigations,Uniforms,All Staff,Group 4,189744
Austin,TX,2020,Police Department,Personnel Services,Patrol,Benefits,All Staff,Group 4,23195227
Austin,TX,2020,Police Department,Personnel Services,Patrol,Bilingual Pay,All Staff,Group 4,327600
Austin,TX,2020,Police Department,Personnel Services,Patrol,Field Equipment,All Staff,Group 4,1670490
Austin,TX,2020,Police Department,Personnel Services,Patrol,Fringe Benefits,All Staff,Group 4,3336379
Austin,TX,2020,Police Department,Personnel Services,Patrol,Holiday Pay,All Staff,Group 4,881513
Austin,TX,2020,Police Department,Personnel Services,Patrol,Medical services,All Staff,Group 4,24308
Austin,TX,2020,Police Department,Personnel Services,Patrol,Office supplies,All Staff,Group 4,2458
Austin,TX,2020,Police Department,Personnel Services,Patrol,Other,All Staff,Group 4,1200
Austin,TX,2020,Police Department,Personnel Services,Patrol,Overtime,All Staff,Group 4,3624222
Austin,TX,2020,Police Department,Personnel Services,Patrol,Phones,All Staff,Group 4,12180
Austin,TX,2020,Police Department,Personnel Services,Patrol,Rentals,All Staff,Group 4,60548
Austin,TX,2020,Police Department,Personnel Services,Patrol,Retirement/pension,All Staff,Group 4,18557434
Austin,TX,2020,Police Department,Personnel Services,Patrol,Salaries,All Staff,Group 4,2279502
Austin,TX,2020,Police Department,Personnel Services,Patrol,Special Pay,All Staff,Group 4,1.00E+05
Austin,TX,2020,Police Department,Personnel Services,Patrol,Tuition Reimbursement,All Staff,Group 4,1725140
Austin,TX,2020,Police Department,Personnel Services,Patrol Support,Benefits,All Staff,Group 4,4610677
Austin,TX,2020,Police Department,Personnel Services,Patrol Support,Bilingual Pay,All Staff,Group 4,75600
Austin,TX,2020,Police Department,Personnel Services,Patrol Support,Dues,All Staff,Group 4,55830
Austin,TX,2020,Police Department,Personnel Services,Patrol Support,Field Equipment,All Staff,Group 4,26329
Austin,TX,2020,Police Department,Personnel Services,Patrol Support,Office supplies,All Staff,Group 4,461
Austin,TX,2020,Police Department,Personnel Services,Patrol Support,Other,All Staff,Group 4,39396
Austin,TX,2020,Police Department,Personnel Services,Patrol Support,Rentals,All Staff,Group 4,16966
Austin,TX,2020,Police Department,Personnel Services,Patrol Support,Retirement/pension,All Staff,Group 4,4162230
Austin,TX,2020,Police Department,Personnel Services,Patrol Support,Salaries,All Staff,Group 4,1061876
Austin,TX,2020,Police Department,Personnel Services,Patrol Support,Special Pay,All Staff,Group 4,15000
Austin,TX,2020,Police Department,Personnel Services,Patrol Support,Tuition Reimbursement,All Staff,Group 4,388477
Austin,TX,2020,Police Department,Personnel Services,Recruiting,Benefits,All Staff,Group 4,564550
Austin,TX,2020,Police Department,Personnel Services,Recruiting,Bilingual Pay,All Staff,Group 4,10200
Austin,TX,2020,Police Department,Personnel Services,Recruiting,Maintenance,All Staff,Group 4,3209
Austin,TX,2020,Police Department,Personnel Services,Recruiting,Printing,All Staff,Group 4,1400
Austin,TX,2020,Police Department,Personnel Services,Recruiting,Salaries,All Staff,Group 4,1896830
Austin,TX,2020,Police Department,Personnel Services,Recruiting,Small tools/minor equipment,All Staff,Group 4,3700
Austin,TX,2020,Police Department,Personnel Services,Recruiting,Training,All Staff,Group 4,12000
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Benefits,All Staff,Group 4,5023166
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Bilingual Pay,All Staff,Group 4,72900
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Dues,All Staff,Group 4,239
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Facility,All Staff,Group 4,5400
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Holiday Pay,All Staff,Group 4,70718
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,IT Maintenance,All Staff,Group 4,2333
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,IT Supplies,All Staff,Group 4,1110
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Medical services,All Staff,Group 4,40681
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Medical supplies,All Staff,Group 4,644
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Office supplies,All Staff,Group 4,7389
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Other,All Staff,Group 4,39580
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Overtime,All Staff,Group 4,2579140
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Phones,All Staff,Group 4,4200
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Rentals,All Staff,Group 4,12055
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Retirement/pension,All Staff,Group 4,4208764
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Salaries,All Staff,Group 4,1340540
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Special Pay,All Staff,Group 4,9000
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Transportation,All Staff,Group 4,34209
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Travel,All Staff,Group 4,2500
Austin,TX,2020,Police Department,Personnel Services,Specialized Patrol,Tuition Reimbursement,All Staff,Group 4,383100
Austin,TX,2020,Police Department,Personnel Services,Strategic Support,Benefits,All Staff,Group 4,1975089
Austin,TX,2020,Police Department,Personnel Services,Strategic Support,Bilingual Pay,All Staff,Group 4,12600
Austin,TX,2020,Police Department,Personnel Services,Strategic Support,Holiday Pay,All Staff,Group 4,10000
Austin,TX,2020,Police Department,Personnel Services,Strategic Support,Maintenance,All Staff,Group 4,10850
Austin,TX,2020,Police Department,Personnel Services,Strategic Support,Phones,All Staff,Group 4,65966
Austin,TX,2020,Police Department,Personnel Services,Strategic Support,Printing,All Staff,Group 4,168
Austin,TX,2020,Police Department,Personnel Services,Strategic Support,Salaries,All Staff,Group 4,918658
Austin,TX,2020,Police Department,Personnel Services,Strategic Support,Small tools/minor equipment,All Staff,Group 4,38437
Austin,TX,2020,Police Department,Personnel Services,Strategic Support,Travel,All Staff,Group 4,5800
Austin,TX,2020,Police Department,Personnel Services,Strategic Support,Uniforms,All Staff,Group 4,1500
Austin,TX,2020,Police Department,Personnel Services,Support Services,Accident pay,All Staff,Group 4,147670
Austin,TX,2020,Police Department,Personnel Services,Support Services,Benefits,All Staff,Group 4,1879696
Austin,TX,2020,Police Department,Personnel Services,Support Services,Bilingual Pay,All Staff,Group 4,14100
Austin,TX,2020,Police Department,Personnel Services,Support Services,Dues,All Staff,Group 4,11450
Austin,TX,2020,Police Department,Personnel Services,Support Services,Facility,All Staff,Group 4,2400
Austin,TX,2020,Police Department,Personnel Services,Support Services,Field Equipment,All Staff,Group 4,13629
Austin,TX,2020,Police Department,Personnel Services,Support Services,Holiday Pay,All Staff,Group 4,6000
Austin,TX,2020,Police Department,Personnel Services,Support Services,Maintenance,All Staff,Group 4,286675
Austin,TX,2020,Police Department,Personnel Services,Support Services,Office supplies,All Staff,Group 4,1500
Austin,TX,2020,Police Department,Personnel Services,Support Services,Other,All Staff,Group 4,431387
Austin,TX,2020,Police Department,Personnel Services,Support Services,Phones,All Staff,Group 4,418597
Austin,TX,2020,Police Department,Personnel Services,Support Services,Printing,All Staff,Group 4,55998
Austin,TX,2020,Police Department,Personnel Services,Support Services,Rentals,All Staff,Group 4,10800
Austin,TX,2020,Police Department,Personnel Services,Support Services,Salaries,All Staff,Group 4,658068
Austin,TX,2020,Police Department,Personnel Services,Support Services,Small tools/minor equipment,All Staff,Group 4,122784
Austin,TX,2020,Police Department,Personnel Services,Support Services,Special Pay,All Staff,Group 4,4000
Austin,TX,2020,Police Department,Personnel Services,Support Services,Training,All Staff,Group 4,20150
Austin,TX,2020,Police Department,Personnel Services,Support Services,Transportation,All Staff,Group 4,32125
Austin,TX,2020,Police Department,Personnel Services,Support Services,Travel,All Staff,Group 4,80750
Austin,TX,2020,Police Department,Personnel Services,Training,Benefits,All Staff,Group 4,1705548
Austin,TX,2020,Police Department,Personnel Services,Training,Bilingual Pay,All Staff,Group 4,21000
Austin,TX,2020,Police Department,Personnel Services,Training,Dues,All Staff,Group 4,3500
Austin,TX,2020,Police Department,Personnel Services,Training,Field Equipment,All Staff,Group 4,49540
Austin,TX,2020,Police Department,Personnel Services,Training,Holiday Pay,All Staff,Group 4,10000
Austin,TX,2020,Police Department,Personnel Services,Training,Maintenance,All Staff,Group 4,125280
Austin,TX,2020,Police Department,Personnel Services,Training,Other,All Staff,Group 4,63500
Austin,TX,2020,Police Department,Personnel Services,Training,Printing,All Staff,Group 4,18358
Austin,TX,2020,Police Department,Personnel Services,Training,Rentals,All Staff,Group 4,2000
Austin,TX,2020,Police Department,Personnel Services,Training,Retirement/pension,All Staff,Group 4,2044702
Austin,TX,2020,Police Department,Personnel Services,Training,Salaries,All Staff,Group 4,77535
Austin,TX,2020,Police Department,Personnel Services,Training,Small tools/minor equipment,All Staff,Group 4,16650
Austin,TX,2020,Police Department,Personnel Services,Training,Special Pay,All Staff,Group 4,15000
Austin,TX,2020,Police Department,Personnel Services,Training,Training,All Staff,Group 4,750
Austin,TX,2020,Police Department,Personnel Services,Training,Travel,All Staff,Group 4,104105
Austin,TX,2020,Police Department,Personnel Services,Training,Tuition Reimbursement,All Staff,Group 4,163655
Austin,TX,2020,Police Department,Personnel Services,Transfers,Administrative Support,All Staff,Group 4,21722068
Austin,TX,2020,Police Department,Personnel Services,Transfers,Benefits,All Staff,Group 4,2661012
Austin,TX,2020,Police Department,Personnel Services,Transfers,Salaries,All Staff,Group 4,1276477
Austin,TX,2020,Police Department,Personnel Services,Transfers,Worker's Compensation,All Staff,Group 4,2271527
Austin,TX,2020,Police Department,Personnel Services,Victim Services,Benefits,All Staff,Group 4,653064
Austin,TX,2020,Police Department,Personnel Services,Victim Services,Bilingual Pay,All Staff,Group 4,25200
Austin,TX,2020,Police Department,Personnel Services,Victim Services,Holiday Pay,All Staff,Group 4,10000
Austin,TX,2020,Police Department,Personnel Services,Victim Services,Maintenance,All Staff,Group 4,5171
Austin,TX,2020,Police Department,Personnel Services,Victim Services,Other,All Staff,Group 4,50700
Austin,TX,2020,Police Department,Personnel Services,Victim Services,Printing,All Staff,Group 4,150
Austin,TX,2020,Police Department,Personnel Services,Victim Services,Small tools/minor equipment,All Staff,Group 4,1475
Austin,TX,2020,Police Department,Personnel Services,Victim Services,Training,All Staff,Group 4,100
Austin,TX,2020,Police Department,Transfers,Forensic Services,Dues,All Staff,Group 4,1230
Austin,TX,2020,Police Department,Transfers,Transfers,CTECC Support,All Staff,Group 4,11182485
Austin,TX,2020,Police Department,Transfers,Transfers,CTM Support,All Staff,Group 4,12529033
Baltimore,MD,2020,Police Community Relations,All Department Expenses,All Sub-departments,All expense items,All staff,Group 3,675121
Baltimore,MD,2020,Police Department,All Department Expenses,Administration,All expense items,All staff,Group 3,93800640
Baltimore,MD,2020,Police Department,All Department Expenses,Evidence and Property,All expense items,All staff,Group 3,23609404
Baltimore,MD,2020,Police Department,All Department Expenses,Internal Affairs,All expense items,All staff,Group 3,12995906
Baltimore,MD,2020,Police Department,All Department Expenses,Investigations,All expense items,All staff,Group 3,53498966
Baltimore,MD,2020,Police Department,All Department Expenses,Marine Unit,All expense items,All staff,Group 3,2765832
Baltimore,MD,2020,Police Department,All Department Expenses,Emergency Communications,All expense items,All staff,Group 3,14064986
Baltimore,MD,2020,Police Department,All Department Expenses,Other,All expense items,All staff,Group 3,16293428
Baltimore,MD,2020,Police Department,All Department Expenses,Patrol,All expense items,All staff,Group 3,202444391
Baltimore,MD,2020,Police Department,All Department Expenses,Records,All expense items,All staff,Group 3,7483083
Baltimore,MD,2020,Police Department,All Department Expenses,Special Operations,All expense items,All staff,Group 3,11563649
Baltimore,MD,2020,Police Department,All Department Expenses,SWAT,All expense items,All staff,Group 3,10877390
Baltimore,MD,2020,Police Department,All Department Expenses,Traffic,All expense items,All staff,Group 3,11610040
Baltimore,MD,2020,Police Department,All Department Expenses,Training,All expense items,All staff,Group 3,22622468
Baltimore,MD,2020,Police Department,All Department Expenses,Violence Suppression,All expense items,All staff,Group 3,52746294
Baltimore,MD,2020,Police Department,Capital Projects,All Sub-departments,All expense items,All staff,Group 3,9800000
Baltimore,MD,2020,Police Legal Affairs,All Department Expenses,All Sub-departments,All expense items,All staff,Group 3,2194751
Billings,MT,2020,Police Department,Captial Projects,All Sub-departments,All expense items,All Staff,Group 1,2800000
Billings,MT,2020,Police Department,Operations,All Sub-departments,All expense items,All Staff,Group 1,3749756
Billings,MT,2020,Police Department,Personnel Services,All Sub-departments,All expense items,All Staff,Group 1,19687990
Billings,MT,2020,Police Department,Transfers,All Sub-departments,All expense items,All Staff,Group 1,779677
Birmingham,AL,2020,Police Department,All Pensions,All Sub-departments,Retirement/pension,All staff,Group 2,20392856
Birmingham,AL,2020,Police Department,Capital Projects,All Sub-departments,Maintenance,All staff,Group 2,140629
Birmingham,AL,2020,Police Department,Capital Projects,All Sub-departments,Office Supplies,All staff,Group 2,38425
Birmingham,AL,2020,Police Department,Contractual Services,All Sub-departments,All expense items,All staff,Group 2,3286711
Birmingham,AL,2020,Police Department,Equipment,All Sub-departments,Field Equipment,All staff,Group 2,705423
Birmingham,AL,2020,Police Department,Equipment,All Sub-departments,Firearms/Ammunition,All staff,Group 2,150000
Birmingham,AL,2020,Police Department,Equipment,All Sub-departments,K9 Equipment,All staff,Group 2,20000
Birmingham,AL,2020,Police Department,Equipment,All Sub-departments,Office Supplies,All staff,Group 2,34862
Birmingham,AL,2020,Police Department,Equipment,All Sub-departments,Other,All staff,Group 2,5900
Birmingham,AL,2020,Police Department,Equipment,All Sub-departments,Printing,All staff,Group 2,22421
Birmingham,AL,2020,Police Department,Equipment,All Sub-departments,Uniforms,All staff,Group 2,418046
Birmingham,AL,2020,Police Department,Non-Equipment Expense,All Sub-departments,All expense items,All staff,Group 2,1021710
Birmingham,AL,2020,Police Department,Operations,All Sub-departments,All expense items,All staff,Group 2,108259
Birmingham,AL,2020,Police Department,Other,All Sub-departments,All expense items,All staff,Group 2,171000
Birmingham,AL,2020,Police Department,Personnel Services,All Sub-departments,Benefits,All staff,Group 2,300071
Birmingham,AL,2020,Police Department,Personnel Services,All Sub-departments,Fringe benefits,All staff,Group 2,1665771
Birmingham,AL,2020,Police Department,Personnel Services,All Sub-departments,Overtime,All staff,Group 2,1900106
Birmingham,AL,2020,Police Department,Personnel Services,All Sub-departments,Salaries,All staff,Group 2,62393607
Boise,ID,2020,"Office of Police Oversight, Office of the Mayor",All Departments,All Sub-departments,All expense items,All staff,Group 1,259717
Boise,ID,2020,Police Department,Capital Projects,All Sub-departments,All expense items,All staff,Group 1,295246
Boise,ID,2020,Police Department,Cost Allocation Plan,All Sub-departments,All expense items,All staff,Group 1,10480677
Boise,ID,2020,Police Department,Equipment,All Sub-departments,All expense items,All staff,Group 1,164363
Boise,ID,2020,Police Department,Miscellaneous,All Sub-departments,All expense items,All staff,Group 1,97971
Boise,ID,2020,Police Department,Operations,All Sub-departments,All expense items,All staff,Group 1,7468208
Boise,ID,2020,Police Department,Personnel Services,All Sub-departments,All expense items,All staff,Group 1,51795274
Boston,MA,2020,Police Department,Capital Projects,All Sub-departments,Archives/Evidence,All staff,Group 2,75000
Boston,MA,2020,Police Department,Capital Projects,All Sub-departments,Facility,All staff,Group 2,7757917
Boston,MA,2020,Police Department,Capital Projects,All Sub-departments,Other,All staff,Group 2,50000
Boston,MA,2020,Police Department,Capital Projects,All Sub-departments,Records,All staff,Group 2,1700000
Boston,MA,2020,Police Department,Capital Projects,All Sub-departments,Security,All staff,Group 2,3.00E+05
Boston,MA,2020,Police Department,Capital Projects,All Sub-departments,Signage,All staff,Group 2,1.00E+05
Boston,MA,2020,Police Department,Contractual Services,All Sub-departments,Communications,All staff,Group 2,3270000
Boston,MA,2020,Police Department,Contractual Services,All Sub-departments,Facility,All staff,Group 2,1446681
Boston,MA,2020,Police Department,Contractual Services,All Sub-departments,Maintenance,All staff,Group 2,3034295
Boston,MA,2020,Police Department,Contractual Services,All Sub-departments,Professional Fees,All staff,Group 2,13289162
Boston,MA,2020,Police Department,Contractual Services,All Sub-departments,Transportation,All staff,Group 2,128413
Boston,MA,2020,Police Department,Contractual Services,All Sub-departments,Utilities,All staff,Group 2,3084970
Boston,MA,2020,Police Department,Equipment,All Sub-departments,Field Equipment,All staff,Group 2,1784878
Boston,MA,2020,Police Department,Equipment,All Sub-departments,Furniture,All staff,Group 2,30000
Boston,MA,2020,Police Department,Equipment,All Sub-departments,Rentals,All staff,Group 2,5539733
Boston,MA,2020,Police Department,Materials and Services,All Sub-departments,Food,All staff,Group 2,144600
Boston,MA,2020,Police Department,Materials and Services,All Sub-departments,Maintenance,All staff,Group 2,91845
Boston,MA,2020,Police Department,Materials and Services,All Sub-departments,Medical Supplies,All staff,Group 2,50000
Boston,MA,2020,Police Department,Materials and Services,All Sub-departments,Office Supplies,All staff,Group 2,3652238
Boston,MA,2020,Police Department,Materials and Services,All Sub-departments,Other,All staff,Group 2,1012
Boston,MA,2020,Police Department,Materials and Services,All Sub-departments,Transportation,All staff,Group 2,2591480
Boston,MA,2020,Police Department,Materials and Services,All Sub-departments,Uniforms,All staff,Group 2,1973211
Boston,MA,2020,Police Department,Other,All Sub-departments,Legal Fees,All staff,Group 2,3245000
Boston,MA,2020,Police Department,Other,All Sub-departments,Other,All staff,Group 2,1729639
Boston,MA,2020,Police Department,Other,All Sub-departments,Worker's Compensations,All staff,Group 2,150000
Boston,MA,2020,Police Department,Personnel Services,All Sub-departments,Benefits,All staff,Group 2,150882
Boston,MA,2020,Police Department,Personnel Services,All Sub-departments,Other,All staff,Group 2,441634
Boston,MA,2020,Police Department,Personnel Services,All Sub-departments,Overtime,All staff,Group 2,61496805
Boston,MA,2020,Police Department,Personnel Services,All Sub-departments,Retirement/Pension,All staff,Group 2,66419
Boston,MA,2020,Police Department,Personnel Services,All Sub-departments,Salaries,All staff,Group 2,314130477
Boston,MA,2020,Police Department,Personnel Services,All Sub-departments,Worker's Compensations,All staff,Group 2,225000
Bridgeport,CT,2020,Police Department,Materials and Services,Administration,All expense items,All staff,Group 4,1586407
Bridgeport,CT,2020,Police Department,Operations,Administration,All expense items,All staff,Group 4,1811629
Bridgeport,CT,2020,Police Department,Other,Administration,All expense items,All staff,Group 4,18169709
Bridgeport,CT,2020,Police Department,Personnel Services,Administration,Fringe Benefits,All staff,Group 4,17160816
Bridgeport,CT,2020,Police Department,Personnel Services,Administration,Salaries/Wages,All staff,Group 4,11958870
Bridgeport,CT,2020,Police Department,Personnel Services,Auxillary Services,Fringe Benefits,All staff,Group 4,1877278
Bridgeport,CT,2020,Police Department,Personnel Services,Auxillary Services,Salaries/Wages,All staff,Group 4,4217668
Bridgeport,CT,2020,Police Department,Personnel Services,Communications,Fringe Benefits,All staff,Group 4,319024
Bridgeport,CT,2020,Police Department,Personnel Services,Communications,Salaries/Wages,All staff,Group 4,639750
Bridgeport,CT,2020,Police Department,Personnel Services,Detectives,Fringe Benefits,All staff,Group 4,1820036
Bridgeport,CT,2020,Police Department,Personnel Services,Detectives,Salaries/Wages,All staff,Group 4,3972776
Bridgeport,CT,2020,Police Department,Personnel Services,Narcotics,Fringe Benefits,All staff,Group 4,604693
Bridgeport,CT,2020,Police Department,Personnel Services,Narcotics,Salaries/Wages,All staff,Group 4,1186238
