"citystate","year","department","expensecat","subdep","expensedescrip","personneltype","group","total"
"Austin, Texas","2020","Police Department","Personnel Services","Forensic Services","Phones","All Staff","Group 4",5880
"Austin, Texas","2020","Police Department","Personnel Services","Forensic Services","Photographic","All Staff","Group 4",30000
"Austin, Texas","2020","Police Department","Personnel Services","Forensic Services","Printing","All Staff","Group 4",28066
"Austin, Texas","2020","Police Department","Personnel Services","Forensic Services","Salaries/Wages","All Staff","Group 4",5330193
"Austin, Texas","2020","Police Department","Personnel Services","Forensic Services","Small tools/minor equipment","All Staff","Group 4",19300
"Austin, Texas","2020","Police Department","Personnel Services","Forensic Services","Training","All Staff","Group 4",350
"Austin, Texas","2020","Police Department","Personnel Services","Forensic Services","Transportation","All Staff","Group 4",100
"Austin, Texas","2020","Police Department","Personnel Services","Forensic Services","Uniform","All Staff","Group 4",3500
"Austin, Texas","2020","Police Department","Personnel Services","Homelessness","Benefits","All Staff","Group 4",42237
"Austin, Texas","2020","Police Department","Personnel Services","Homelessness","Medicare tax","All Staff","Group 4",2974
"Austin, Texas","2020","Police Department","Personnel Services","Homelessness","Retirement/pension","All Staff","Group 4",42839
"Austin, Texas","2020","Police Department","Personnel Services","Homelessness","Salaries/Wages","All Staff","Group 4",4708
"Austin, Texas","2020","Police Department","Personnel Services","Homelessness","Tuition Reimbursement","All Staff","Group 4",3600
"Austin, Texas","2020","Police Department","Personnel Services","Internal Affairs","Benefits","All Staff","Group 4",619494
"Austin, Texas","2020","Police Department","Personnel Services","Internal Affairs","Bilingual Pay","All Staff","Group 4",10500
"Austin, Texas","2020","Police Department","Personnel Services","Internal Affairs","Higher class pay","All Staff","Group 4",3000
"Austin, Texas","2020","Police Department","Personnel Services","Internal Affairs","Holiday Pay","All Staff","Group 4",10000
"Austin, Texas","2020","Police Department","Personnel Services","Internal Affairs","Maintenance","All Staff","Group 4",6926
"Austin, Texas","2020","Police Department","Personnel Services","Internal Affairs","Memberships","All Staff","Group 4",450
"Austin, Texas","2020","Police Department","Personnel Services","Internal Affairs","Printing","All Staff","Group 4",10500
"Austin, Texas","2020","Police Department","Personnel Services","Internal Affairs","Salaries/Wages","All Staff","Group 4",2449756
"Austin, Texas","2020","Police Department","Personnel Services","Internal Affairs","Small tools/minor equipment","All Staff","Group 4",19000
"Austin, Texas","2020","Police Department","Personnel Services","Internal Affairs","Uniform","All Staff","Group 4",10000
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Benefits","All Staff","Group 4",6222276
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Bilingual Pay","All Staff","Group 4",158400
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","FICA tax","All Staff","Group 4",2424754
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Higher class pay","All Staff","Group 4",13500
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Holiday Pay","All Staff","Group 4",256331
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Longevity pay-civil service","All Staff","Group 4",434741
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Organized Crime","All Staff","Group 4",17676003
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Overtime","All Staff","Group 4",1984623
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Retirement/pension","All Staff","Group 4",8048762
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Salaries/wages","All Staff","Group 4",1074380
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Salaries/Wages","All Staff","Group 4",36579552
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Shift differential","All Staff","Group 4",194400
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Stability pay","All Staff","Group 4",18616
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Tuition Reimbursement","All Staff","Group 4",757800
"Austin, Texas","2020","Police Department","Personnel Services","Investigations","Uniforms","All Staff","Group 4",189744
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Benefits","All Staff","Group 4",21706439
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Bilingual Pay","All Staff","Group 4",327600
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Fringe Benefits","All Staff","Group 4",3336379
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Higher class pay","All Staff","Group 4",1e+05
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Holidays worked","All Staff","Group 4",881513
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Medicare tax","All Staff","Group 4",1488788
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Office supplies","All Staff","Group 4",2458
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Overtime","All Staff","Group 4",507096
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Overtime - Civil Service","All Staff","Group 4",3117126
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Phone allowance","All Staff","Group 4",12180
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Police supplies","All Staff","Group 4",1670490
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Regular wages - full-time","All Staff","Group 4",594914
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Rental-copy machines","All Staff","Group 4",54800
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Rental-other equipment","All Staff","Group 4",5748
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Retirement/pension","All Staff","Group 4",18557434
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Salaries/Wages","All Staff","Group 4",1684588
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Seminar/training fees","All Staff","Group 4",19100
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Services-medical/surgical","All Staff","Group 4",24308
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Services-other","All Staff","Group 4",1200
"Austin, Texas","2020","Police Department","Personnel Services","Patrol","Tuition Reimbursement","All Staff","Group 4",1706040
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Benefits","All Staff","Group 4",4315057
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Bilingual Pay","All Staff","Group 4",75600
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Higher class pay","All Staff","Group 4",15000
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Medicare tax","All Staff","Group 4",295620
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Memberships","All Staff","Group 4",55830
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Office supplies","All Staff","Group 4",461
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Police supplies","All Staff","Group 4",26329
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Regular wages - full-time","All Staff","Group 4",712719
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Rental-copy machines","All Staff","Group 4",16966
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Retirement/pension","All Staff","Group 4",4162230
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Salaries/Wages","All Staff","Group 4",349157
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Seminar/training fees","All Staff","Group 4",7597
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Services-other","All Staff","Group 4",39396
"Austin, Texas","2020","Police Department","Personnel Services","Patrol Support","Tuition Reimbursement","All Staff","Group 4",380880
"Austin, Texas","2020","Police Department","Personnel Services","Recruiting","Benefits","All Staff","Group 4",564550
"Austin, Texas","2020","Police Department","Personnel Services","Recruiting","Bilingual Pay","All Staff","Group 4",10200
"Austin, Texas","2020","Police Department","Personnel Services","Recruiting","Maintenance","All Staff","Group 4",3209
"Austin, Texas","2020","Police Department","Personnel Services","Recruiting","Printing","All Staff","Group 4",1400
"Austin, Texas","2020","Police Department","Personnel Services","Recruiting","Salaries/Wages","All Staff","Group 4",1896830
"Austin, Texas","2020","Police Department","Personnel Services","Recruiting","Small tools/minor equipment","All Staff","Group 4",3700
"Austin, Texas","2020","Police Department","Personnel Services","Recruiting","Testing","All Staff","Group 4",8000
"Austin, Texas","2020","Police Department","Personnel Services","Recruiting","Training","All Staff","Group 4",4000
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Benefits","All Staff","Group 4",4665948
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Bilingual Pay","All Staff","Group 4",72900
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Higher class pay","All Staff","Group 4",9000
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Holidays worked","All Staff","Group 4",70718
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Maintenance-computer software","All Staff","Group 4",2333
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Maintenance-grounds","All Staff","Group 4",5400
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Medical/dental supplies","All Staff","Group 4",644
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Medicare tax","All Staff","Group 4",357218
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Memberships","All Staff","Group 4",239
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Office supplies","All Staff","Group 4",7389
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Phone allowance","All Staff","Group 4",4200
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Regular wages - full-time","All Staff","Group 4",924374
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Reimbursed overtime - paid","All Staff","Group 4",2579140
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Rental-copy machines","All Staff","Group 4",12055
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Retirement/pension","All Staff","Group 4",4208764
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Salaries/Wages","All Staff","Group 4",416166
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Seminar/training fees","All Staff","Group 4",1500
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Services-medical/surgical","All Staff","Group 4",40681
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Services-other","All Staff","Group 4",39580
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Software","All Staff","Group 4",1110
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Transportation-city veh fuel","All Staff","Group 4",34209
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Travel City Business","All Staff","Group 4",2500
"Austin, Texas","2020","Police Department","Personnel Services","Specialized Patrol","Tuition Reimbursement","All Staff","Group 4",381600
"Austin, Texas","2020","Police Department","Personnel Services","Strategic Support","Benefits","All Staff","Group 4",1975089
"Austin, Texas","2020","Police Department","Personnel Services","Strategic Support","Bilingual Pay","All Staff","Group 4",12600
"Austin, Texas","2020","Police Department","Personnel Services","Strategic Support","Compensation Adjustment","All Staff","Group 4",109965
"Austin, Texas","2020","Police Department","Personnel Services","Strategic Support","Holiday Pay","All Staff","Group 4",10000
"Austin, Texas","2020","Police Department","Personnel Services","Strategic Support","Maintenance","All Staff","Group 4",10850
"Austin, Texas","2020","Police Department","Personnel Services","Strategic Support","Phones","All Staff","Group 4",65966
"Austin, Texas","2020","Police Department","Personnel Services","Strategic Support","Printing","All Staff","Group 4",168
"Austin, Texas","2020","Police Department","Personnel Services","Strategic Support","Salaries/Wages","All Staff","Group 4",808693
"Austin, Texas","2020","Police Department","Personnel Services","Strategic Support","Small tools/minor equipment","All Staff","Group 4",38437
"Austin, Texas","2020","Police Department","Personnel Services","Strategic Support","Travel","All Staff","Group 4",5800
"Austin, Texas","2020","Police Department","Personnel Services","Strategic Support","Uniform","All Staff","Group 4",1500
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Accident pay","All Staff","Group 4",147670
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Benefits","All Staff","Group 4",1879696
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Bilingual Pay","All Staff","Group 4",14100
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Higher class pay","All Staff","Group 4",4000
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Holiday Pay","All Staff","Group 4",6000
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Maintenance","All Staff","Group 4",281675
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Memberships","All Staff","Group 4",11450
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Office supplies","All Staff","Group 4",1500
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Other","All Staff","Group 4",403387
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Other charges","All Staff","Group 4",28000
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Other Equipment","All Staff","Group 4",13329
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Personnel savings","All Staff","Group 4",-647053
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Pest Control","All Staff","Group 4",5000
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Phones","All Staff","Group 4",418597
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Pipes and fittings","All Staff","Group 4",2400
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Printing","All Staff","Group 4",55998
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Rental Real Estate Office","All Staff","Group 4",10800
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Safety equipment","All Staff","Group 4",300
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Salaries/Wages","All Staff","Group 4",658068
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Small tools/minor equipment","All Staff","Group 4",122784
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Training","All Staff","Group 4",20150
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Transportation","All Staff","Group 4",32125
"Austin, Texas","2020","Police Department","Personnel Services","Support Services","Travel","All Staff","Group 4",80750
"Austin, Texas","2020","Police Department","Personnel Services","Training","Benefits","All Staff","Group 4",1705548
"Austin, Texas","2020","Police Department","Personnel Services","Training","Bilingual Pay","All Staff","Group 4",21000
"Austin, Texas","2020","Police Department","Personnel Services","Training","Higher class pay","All Staff","Group 4",15000
"Austin, Texas","2020","Police Department","Personnel Services","Training","Holiday Pay","All Staff","Group 4",10000
"Austin, Texas","2020","Police Department","Personnel Services","Training","Maintenance","All Staff","Group 4",125280
"Austin, Texas","2020","Police Department","Personnel Services","Training","Memberships","All Staff","Group 4",3500
"Austin, Texas","2020","Police Department","Personnel Services","Training","Other","All Staff","Group 4",63500
"Austin, Texas","2020","Police Department","Personnel Services","Training","Other Equipment","All Staff","Group 4",49540
"Austin, Texas","2020","Police Department","Personnel Services","Training","Personnel savings","All Staff","Group 4",-2749202
"Austin, Texas","2020","Police Department","Personnel Services","Training","Printing","All Staff","Group 4",18358
"Austin, Texas","2020","Police Department","Personnel Services","Training","Rental Real Estate Office","All Staff","Group 4",2000
"Austin, Texas","2020","Police Department","Personnel Services","Training","Retirement/pension","All Staff","Group 4",2044702
"Austin, Texas","2020","Police Department","Personnel Services","Training","Salaries/Wages","All Staff","Group 4",77535
"Austin, Texas","2020","Police Department","Personnel Services","Training","Small tools/minor equipment","All Staff","Group 4",16650
"Austin, Texas","2020","Police Department","Personnel Services","Training","Training","All Staff","Group 4",750
"Austin, Texas","2020","Police Department","Personnel Services","Training","Travel","All Staff","Group 4",104105
"Austin, Texas","2020","Police Department","Personnel Services","Training","Tuition Reimbursement","All Staff","Group 4",163655
"Austin, Texas","2020","Police Department","Personnel Services","Transfers","Accrued Payroll","All Staff","Group 4",1276477
"Austin, Texas","2020","Police Department","Personnel Services","Transfers","Administrative Support","All Staff","Group 4",21722068
"Austin, Texas","2020","Police Department","Personnel Services","Transfers","Benefits","All Staff","Group 4",-2661012
"Austin, Texas","2020","Police Department","Personnel Services","Transfers","Personnel savings","All Staff","Group 4",2661012
"Austin, Texas","2020","Police Department","Personnel Services","Transfers","Workers' Compensation","All Staff","Group 4",2271527
"Austin, Texas","2020","Police Department","Personnel Services","Victim Services","Benefits","All Staff","Group 4",653064
"Austin, Texas","2020","Police Department","Personnel Services","Victim Services","Bilingual Pay","All Staff","Group 4",25200
"Austin, Texas","2020","Police Department","Personnel Services","Victim Services","Holiday Pay","All Staff","Group 4",10000
"Austin, Texas","2020","Police Department","Personnel Services","Victim Services","Maintenance","All Staff","Group 4",5171
"Austin, Texas","2020","Police Department","Personnel Services","Victim Services","Other","All Staff","Group 4",50700
"Austin, Texas","2020","Police Department","Personnel Services","Victim Services","Personnel savings","All Staff","Group 4",-37491
"Austin, Texas","2020","Police Department","Personnel Services","Victim Services","Printing","All Staff","Group 4",150
"Austin, Texas","2020","Police Department","Personnel Services","Victim Services","Small tools/minor equipment","All Staff","Group 4",1475
"Austin, Texas","2020","Police Department","Personnel Services","Victim Services","Training","All Staff","Group 4",100
"Austin, Texas","2020","Police Department","Transfers","Forensic Services","Memberships","All Staff","Group 4",1230
"Austin, Texas","2020","Police Department","Transfers","Transfers","CTECC Support","All Staff","Group 4",11182485
"Austin, Texas","2020","Police Department","Transfers","Transfers","CTM Support","All Staff","Group 4",12529033
"Baltimore, Maryland","2020","Police Community relations","All Department Expenses","All Sub-departments","All expense items","All staff","Group 3",675121
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Administration","All expense items","All staff","Group 3",93800640
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Aviation Unit","All expense items","All staff","Group 3",7054321
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Crime Laboratory and Evidence Control","All expense items","All staff","Group 3",23609404
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Crowd, Traffic, and Special Events Management","All expense items","All staff","Group 3",11610040
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Emergency Communications","All expense items","All staff","Group 3",14064986
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Investigations","All expense items","All staff","Group 3",53498966
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Marine Unit","All expense items","All staff","Group 3",2765832
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Operational and Analytical Intelligence","All expense items","All staff","Group 3",16293428
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Patrol","All expense items","All staff","Group 3",202444391
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Police Internal Affairs","All expense items","All staff","Group 3",12995906
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Records","All expense items","All staff","Group 3",7483083
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Recruitment and Training","All expense items","All staff","Group 3",22622468
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Special Operations","All expense items","All staff","Group 3",4509328
"Baltimore, Maryland","2020","Police Department","All Department Expenses","SWAT","All expense items","All staff","Group 3",10877390
"Baltimore, Maryland","2020","Police Department","All Department Expenses","Violent Crime Suppression","All expense items","All staff","Group 3",52746294
"Baltimore, Maryland","2020","Police Department","Capital Projects","All Sub-departments","All expense items","All staff","Group 3",9800000
"Baltimore, Maryland","2020","Police Legal Affairs","All Department Expenses","All Sub-departments","All expense items","All staff","Group 3",2194751
"Billings, Montana","2020","Police Department","Captial Projects","All Sub-departments","All expense items","All Staff","Group 1",2800000
"Billings, Montana","2020","Police Department","Operations","All Sub-departments","All expense items","All Staff","Group 1",3749756
"Billings, Montana","2020","Police Department","Personnel Services","All Sub-departments","All expense items","All Staff","Group 1",19687990
"Billings, Montana","2020","Police Department","Transfers","All Sub-departments","All expense items","All Staff","Group 1",779677
"Birmingham, Alabama","2020","Police Department","Capital Projects","All Sub-departments","Facility","All staff","Group 2",700
"Birmingham, Alabama","2020","Police Department","Capital Projects","All Sub-departments","Maintenance","All staff","Group 2",139929
"Birmingham, Alabama","2020","Police Department","Capital Projects","All Sub-departments","Office Supplies","All staff","Group 2",38425
"Birmingham, Alabama","2020","Police Department","Communications","All Sub-departments","All expense items","All staff","Group 2",342000
"Birmingham, Alabama","2020","Police Department","Contractual Services","All Sub-departments","Professional Fees","All staff","Group 2",3286711
"Birmingham, Alabama","2020","Police Department","Equipment","All Sub-departments","Clothing- Prisoners","All staff","Group 2",2000
"Birmingham, Alabama","2020","Police Department","Equipment","All Sub-departments","Field Equipment","All staff","Group 2",705423
"Birmingham, Alabama","2020","Police Department","Equipment","All Sub-departments","Firearms/Ammunition","All staff","Group 2",150000
"Birmingham, Alabama","2020","Police Department","Equipment","All Sub-departments","K9 Equipment","All staff","Group 2",20000
"Birmingham, Alabama","2020","Police Department","Equipment","All Sub-departments","Office Supplies","All staff","Group 2",34862
"Birmingham, Alabama","2020","Police Department","Equipment","All Sub-departments","Printing","All staff","Group 2",22421
"Birmingham, Alabama","2020","Police Department","Equipment","All Sub-departments","Supplies- Other Medical Supplies","All staff","Group 2",1500
"Birmingham, Alabama","2020","Police Department","Equipment","All Sub-departments","Supplies- Other Souvenirs","All staff","Group 2",1250
"Birmingham, Alabama","2020","Police Department","Equipment","All Sub-departments","Supplies-Other Forms","All staff","Group 2",1150
"Birmingham, Alabama","2020","Police Department","Equipment","All Sub-departments","Uniforms","All staff","Group 2",418046
"Birmingham, Alabama","2020","Police Department","Non-Equipment Expense","All Sub-departments","All expense items","All staff","Group 2",1021710
"Birmingham, Alabama","2020","Police Department","Operations","All Sub-departments","All expense items","All staff","Group 2",108259
"Birmingham, Alabama","2020","Police Department","Personnel Services","All Sub-departments","Benefits","All staff","Group 2",300071
"Birmingham, Alabama","2020","Police Department","Personnel Services","All Sub-departments","Fringe benefits","All staff","Group 2",1665771
"Birmingham, Alabama","2020","Police Department","Personnel Services","All Sub-departments","Overtime","All staff","Group 2",1900106
"Birmingham, Alabama","2020","Police Department","Personnel Services","All Sub-departments","Retirement/pension","All staff","Group 2",20392856
"Birmingham, Alabama","2020","Police Department","Personnel Services","All Sub-departments","Salaries","All staff","Group 2",62393607
"Boise, Idaho","2020","Office of Police Oversight, Office of the Mayor","All Departments","All Sub-departments","All expense items","All staff","Group 1",259717
"Boise, Idaho","2020","Police Department","Capital Projects","All Sub-departments","All expense items","All staff","Group 1",295246
"Boise, Idaho","2020","Police Department","Cost Allocation Plan","All Sub-departments","All expense items","All staff","Group 1",10480677
"Boise, Idaho","2020","Police Department","Equipment","All Sub-departments","All expense items","All staff","Group 1",164363
"Boise, Idaho","2020","Police Department","Miscellaneous","All Sub-departments","All expense items","All staff","Group 1",97971
"Boise, Idaho","2020","Police Department","Operations","All Sub-departments","All expense items","All staff","Group 1",7468208
"Boise, Idaho","2020","Police Department","Personnel Services","All Sub-departments","All expense items","All staff","Group 1",51795274
"Boston, Massachusetts","2020","Police Department","Capital Projects","All Sub-departments","East Boston Police Station","All staff","Group 2",1500000
"Boston, Massachusetts","2020","Police Department","Capital Projects","All Sub-departments","Emergency 9-1-1 Backup Study","All staff","Group 2",50000
"Boston, Massachusetts","2020","Police Department","Capital Projects","All Sub-departments","Evidence/Archives/Central Supply Study","All staff","Group 2",75000
"Boston, Massachusetts","2020","Police Department","Capital Projects","All Sub-departments","Facility","All staff","Group 2",5400000
"Boston, Massachusetts","2020","Police Department","Capital Projects","All Sub-departments","Records Management Replacement","All staff","Group 2",1700000
"Boston, Massachusetts","2020","Police Department","Capital Projects","Area A-1 and Area D-4 Stations","Facility","All staff","Group 2",1157917
"Boston, Massachusetts","2020","Police Department","Capital Projects","Area D-14 Station Roof","Facility","All staff","Group 2",1e+05
"Boston, Massachusetts","2020","Police Department","Contractual Services","All Sub-departments","Communications","All staff","Group 2",3270000
"Boston, Massachusetts","2020","Police Department","Contractual Services","All Sub-departments","Contracted Services","All staff","Group 2",10587942
"Boston, Massachusetts","2020","Police Department","Contractual Services","All Sub-departments","External Funds: Contracted Services","All staff","Group 2",2701220
"Boston, Massachusetts","2020","Police Department","Contractual Services","All Sub-departments","External Funds: Repairs & Service of Equipment","All staff","Group 2",696657
"Boston, Massachusetts","2020","Police Department","Contractual Services","All Sub-departments","Facility","All staff","Group 2",1446681
"Boston, Massachusetts","2020","Police Department","Contractual Services","All Sub-departments","Garbage/Waste Removal","All staff","Group 2",88500
"Boston, Massachusetts","2020","Police Department","Contractual Services","All Sub-departments","Repairs & Service of Equipment","All staff","Group 2",2249138
"Boston, Massachusetts","2020","Police Department","Contractual Services","All Sub-departments","Transportation","All staff","Group 2",128413
"Boston, Massachusetts","2020","Police Department","Contractual Services","All Sub-departments","Utilities","All staff","Group 2",3084970
"Boston, Massachusetts","2020","Police Department","Equipment","All Sub-departments","External Funds: Misc Equipment","All staff","Group 2",190403
"Boston, Massachusetts","2020","Police Department","Equipment","All Sub-departments","Lease/Purchase","All staff","Group 2",5539733
"Boston, Massachusetts","2020","Police Department","Equipment","All Sub-departments","Misc Equipment","All staff","Group 2",1594475
"Boston, Massachusetts","2020","Police Department","Equipment","All Sub-departments","Office Supplies","All staff","Group 2",30000
"Boston, Massachusetts","2020","Police Department","External Funds, Other charges","All Sub-departments","All expense items","All staff","Group 2",196589
"Boston, Massachusetts","2020","Police Department","Indemnification","All Sub-departments","Legal Fees","All staff","Group 2",5e+06
"Boston, Massachusetts","2020","Police Department","Legal Liabilities","All Sub-departments","Legal Fees","All staff","Group 2",1490000
"Boston, Massachusetts","2020","Police Department","Materials and Services","All Sub-departments","Auto Energy Supplies","All staff","Group 2",2591480
"Boston, Massachusetts","2020","Police Department","Materials and Services","All Sub-departments","Clothing Allowance","All staff","Group 2",1973211
"Boston, Massachusetts","2020","Police Department","Materials and Services","All Sub-departments","Custodial Supplies","All staff","Group 2",91845
"Boston, Massachusetts","2020","Police Department","Materials and Services","All Sub-departments","External Funds: Educational Supplies & Mat","All staff","Group 2",1012
"Boston, Massachusetts","2020","Police Department","Materials and Services","All Sub-departments","External Funds: Med, Dental & Hosp Supply","All staff","Group 2",50000
"Boston, Massachusetts","2020","Police Department","Materials and Services","All Sub-departments","External Funds: Misc Supplies & Materials","All staff","Group 2",87255
"Boston, Massachusetts","2020","Police Department","Materials and Services","All Sub-departments","Food Supplies","All staff","Group 2",144600
"Boston, Massachusetts","2020","Police Department","Materials and Services","All Sub-departments","Misc Supplies & Materials","All staff","Group 2",3288417
"Boston, Massachusetts","2020","Police Department","Materials and Services","All Sub-departments","Office Supplies","All staff","Group 2",276566
"Boston, Massachusetts","2020","Police Department","Other Charges","All Sub-departments","All expense items","All staff","Group 2",1533050
"Boston, Massachusetts","2020","Police Department","Personnel Services","All Sub-departments"," Unemployment Compensation","All staff","Group 2",3e+05
"Boston, Massachusetts","2020","Police Department","Personnel Services","All Sub-departments"," Workers' Compensation","All staff","Group 2",225000
"Boston, Massachusetts","2020","Police Department","Personnel Services","All Sub-departments","Benefits","All staff","Group 2",150882
"Boston, Massachusetts","2020","Police Department","Personnel Services","All Sub-departments","External Funds: Indirect Costs","All staff","Group 2",141634
"Boston, Massachusetts","2020","Police Department","Personnel Services","All Sub-departments","Overtime","All staff","Group 2",61496805
"Boston, Massachusetts","2020","Police Department","Personnel Services","All Sub-departments","Retirement/Pension","All staff","Group 2",66419
"Boston, Massachusetts","2020","Police Department","Personnel Services","All Sub-departments","Salaries","All staff","Group 2",314130477
"Boston, Massachusetts","2020","Police Department","Personnel Services","All Sub-departments","Worker's Compensation","All staff","Group 2",150000
"Bridgeport, Connecticut","2020","Police Department","Materials and Services","Administration","All expense items","All staff","Group 4",1586407
"Bridgeport, Connecticut","2020","Police Department","Operations","Administration","All expense items","All staff","Group 4",1811629
"Bridgeport, Connecticut","2020","Police Department","Other","Administration","All expense items","All staff","Group 4",18169709
"Bridgeport, Connecticut","2020","Police Department","Personnel Services","Administration","Fringe Benefits","All staff","Group 4",17160816
"Bridgeport, Connecticut","2020","Police Department","Personnel Services","Administration","Salaries/Wages","All staff","Group 4",11958870
